id,name,time,other names,类型
A698,犬夜叉 完结篇,['2009年10月3日'],['犬夜叉 完結篇'],"['穿越', '战斗', '恋爱', '奇幻', '热血', '爱情']"
A699,月光旅程 -Touch down-,['2007年9月13日'],['月光旅程 第二季'],['科幻']
A700,南方公园 第3季,['1999年4月7日'],none,['搞笑']
A701,了不起的狐狸爸爸,none,['非凡的狐狸老爸'],['搞笑']
A702,南方公园 第10季,['2006-03-26'],none,['搞笑']
A703,鹬,none,['鹞'],"['治愈', '3D', '萌']"
A704,宇宙兄弟#0,none,['宇宙兄弟 剧场版'],"['励志', '职场', '科幻']"
A705,机动战士高达 雷霆宙域,['2015年12月25日'],['机动战士高达 THUNDERBOLT'],"['科幻', '机战', '热血']"
A706,乐园追放 -Expelled From Paradise-,none,none,"['科幻', '3D', '机战', '战斗']"
A707,坂道上的阿波罗,['2012年4月12日'],none,"['校园', '青春', '治愈', '恋爱']"
